Event,Region,Game,VOD,Bracket,Phase,1,2,3,4
MajSoul - ALL - (PC),ALL,Mahjong Soul,"<a href='https://www.twitch.tv/videos/1735824435'>VOD 1</a>, <a href='https://www.twitch.tv/videos/1735825158'>VOD 2</a>, <a href='https://www.twitch.tv/videos/1743950855'>VOD 3</a>, <a href='https://www.twitch.tv/videos/1743951923'>VOD 4</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/mahjong-soul-global/overview,Top 32,Kress,<b>HONORS</b> | bloodsport,<b>SRMC</b> | Misder,FX
MM - ALL - (PC-Fightcade),ALL,Matrimelee,<a href='https://www.youtube.com/watch?v=Xv5NL_w9EoY'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/matrimelee-global/overview,Top 8,clobbering rush (@ClobberingR),theadictt,Icariansea (@skywardgemstone),<b>CR506</b> | Orochi_Kyo
MBAACC - LAN - (PC-Caster),LAN,Melty Blood Actress Again Current Code,<a href='https://youtu.be/uaItHkfceD4'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-lan/overview,Full Tourney,Alchemist of Atlas,Pala (@SmashingPala),<b>MLN</b> | Heavy,Zuftry
MBAACC - NA - (PC-Caster),NA,Melty Blood Actress Again Current Code,"<a href='https://youtu.be/q7Y6VARYs2Y'>VOD 1</a>, <a href='https://youtu.be/Ss_bh-PotJQ'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-na/overview,Full Tourney,Skeleton (@inputreader),Klinsytatari (@klinsytatari),<b>HitBox</b> | Mavi (@Mavi_CX),MasterIcarus7 (@MasterIcarus7)
MBAACC - SA/BR - (PC-Caster),BR,Melty Blood Actress Again Current Code,<a href='https://youtu.be/NEBayoqn1oc'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-br/overview,Full Tourney,<b>UA</b> | Receita Federal (@MillerRobert1),Gonzaguinha (@Gonzagu54294692),Kuroneko (@kurogato_da),Mariofeeh (@Mariofeeh)
MBAACC - SA/SUD - (PC-Caster),SUD,Melty Blood Actress Again Current Code,<a href='https://www.youtube.com/watch?v=ZnxmA-nCsmM'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-sud/overview,Top 8,<b>DYBB | SSA</b> | Nanyako (@Nanyako3),StarlowMora (@MoraStarlow),ShadowCarnage (@BT_ShadowC),<b>MeltySud</b> | Lks (@Fabii93Lucas)
MBAACC - SEA - (PC-Caster),SEA,Melty Blood Actress Again Current Code,<a href='https://www.youtube.com/watch?v=DsHgx_r1l_k&ab_channel=AirdasherSEA'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-actress-again-current-code-sea/overview,Full Tourney,Division,Sencer_ (@SencerAr_),Asher (@Ash3r96),Ceekos (@ceekos_hftf)
MBTL - LAN - (PC-Steam),LAN,Melty Blood: Type Lumina,<a href='https://www.youtube.com/watch?v=0xIZr8epaLs'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-lan/overview,Full Tourney,Pala (@SmashingPala),Zwart,Mega,<b>MLN</b> | Keitoless
MBTL - NA - (PC-Steam),NA,Melty Blood: Type Lumina,<a href='https://youtu.be/TDNMGLDc4k0'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-na/overview,Full Tourney,Hyde (@hydechiko),Piko (@jskflgkl),Defiant (@Defiant_def),<b>BLITZ | BZE</b> | Lucy (@Lucybruv)
MBTL - OCE - (PC-Steam),OCE,Melty Blood: Type Lumina,<a href='https://youtu.be/AJaByfQkhGY'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-oce/overview,Full Tourney,how (@howlaire),Arctee,BlueVapour (@BlueVapour8),imoKirby (@elijahjgadlin  )
MBTL - SA/BR - (PC-Steam),BR,Melty Blood: Type Lumina,"<a href='https://www.youtube.com/watch?v=GcJPZS_Wpv0&ab_channel=ReverseBeatBrasil'>VOD</a>, <a href='https://www.youtube.com/watch?v=GcJPZS_Wpv0'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-br/overview,Full Tourney,Kyuki (@KyukiVT),<b>Basement</b> | Fowz (@Fowztasia),<b>MBR</b> | Redhydra (@taxhavenbr),Jorjão (@Jorgituzin)
MBTL - SA/SUD - (PC-Steam),SUD,Melty Blood: Type Lumina,<a href='https://www.youtube.com/watch?v=_HdUvkOayj0'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-sud/overview,Top 12,<b>G9</b> | Haya (@HayaSugar),<b>DYBB | SSA</b> | Nanyako (@Nanyako3),Juaking (@LotteBestWitch),Ajosac96 (@AaronSa13735058)
MBTL - SEA - (PC-Steam),SEA,Melty Blood: Type Lumina,<a href='https://www.twitch.tv/videos/1746691628'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/melty-blood-type-lumina-sea/overview,Full Tourney,Huhx (@Huhx),Eight (@eight_nm),New Staff (@newstaff052),Acruis (@arkruis)
MBON - NA - (PS4),NA,Mobile Suit Gundam Extreme VS Maxiboost ON,<a href='https://youtu.be/SX9gV7yiDyw'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/gundam-mbon-na/overview,Full Tourney,"Evangelistof_MOE, Panjaii","Araway (@Araway_umu), Miuna","Zahlzeit (@zahlzeit_en), Sumeragi_Kujo (@SumeragiKujo)","breakerprime, PureSteve (@PuresteveFGC)"
NTM - ALL - (PC-Fightcade),ALL,Neo Turf Masters,<a href='https://youtu.be/jeDC5VoB2mg'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/neo-turf-masters-global/overview,Full Tourney,@notel#2051 (@notel_ntm),Ken-7stars#8124 (@ken_7_stars),Library (@BibliotecaTonta),Skuttie (@SkuttieG)
NASB - NA - (PC-Steam),NA,Nickelodeon All-Star Brawl,<a href='https://www.twitch.tv/blackimar64/video/1763761077'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/nickelodeon-all-star-brawl-na/overview,Full Tourney,<b>Tafaars Friend</b> | Pugx (@pugx_0),Tudle (@ItsNotToodle),as4p (@as4pu),Grey-C (@thatgirlgreyc)
P4U2 - NA+EU - (PC-Steam),"NA, EU",Persona 4 Ultimax,<a href='https://www.twitch.tv/videos/1735744111'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/persona-4-arena-ultimax-pc-na-eu/overview,Full Tourney,Atarax570 (@Atarax570),Aurha,<b>Rising Stars</b> | Hero,<b>TRANS RIGHTS</b> | Milpy (@MilpyChannel)
P4U2 - NA+JP - (PS4),"NA, JP",Persona 4 Ultimax,"<a href='https://youtu.be/7G7Q3-F4J0g'>VOD 1</a>, <a href='https://youtu.be/4OTj50HVgJQ'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/persona-4-arena-ultimax-psn-na-jp/overview,Full Tourney,みがき/Migaki (@_nera_nera),KyokugenFight (@kyokugenfight),Hero,<b>PENTEN</b> | Gold (@GoldilocksP4)
P4U2 - OCE - (PC-Steam),OCE,Persona 4 Ultimax,<a href='https://youtu.be/Zir6MCi4WGk'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/persona-4-arena-ultimax-oce/overview,Full Tourney,Beedozer (@Beedozer3),Goon (@Goonster__),Blademaster,Kargo (@Kargo_06)
P4U2 - SA/SUD - (PC-Steam),SUD,Persona 4 Ultimax,<a href='https://www.youtube.com/watch?v=NnHY0ZDFoMc'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/persona-4-arena-ultimax-sud/overview,Pools,<b>WG</b> | Kesaca (@Kesaca_),<b>Aracne</b> | VermiCL (@VermiCL),Meia (@Lincolnxs1),<b>Gensou</b> | Vibago (@Vibago3)
PBO - ALL - (PC-Steam),ALL,Phantom Breaker Omnia,<a href='https://youtu.be/KHksNALyN2Y'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/phantom-breaker-omnia-global/overview,Full Tourney,KOMI (@KOMICOM),Volfeed (@Volfeednow),Syanderike (@Syanderike),Keo-Bastein (@Keogamer)
PBO - JP - (PS4),JP,Phantom Breaker Omnia,<a href='https://youtu.be/75GT8q3rubk'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/phantom-breaker-omnia-japan/overview,Full Tourney,Loliko Blade (@fallenangel_bb9),Volfeed (@volfeednow),Moehamebonmaru (@MOEHAME13ON),KOMI (@KOMICOM)
PBO - NA - (PC-Steam),NA,Phantom Breaker Omnia,<a href='https://youtu.be/oIncU2oA-U8'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/phantom-breaker-omnia-na/overview,Full Tourney,MCM (@MCM931 ),Akuadynasty (@akuadynasty),Keobas (@keogamer),BulkyHarpy75
PRBFTG - NA+EU+LAN - (PC-Steam),"NA, EU, LAN",Power Rangers: Battle for the Grid,<a href='https://www.youtube.com/watch?v=-Rn2NTVbGZQ&t=793s'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/power-rangers-battle-for-the-grid-na-eu-lan/overview,Full Tourney,<b>CRS</b> | Chimera (@FeaRChimera ),Whitewolf_Zago (@Whitewolf_Zago),Rizu75 (@Rizu7501),<b>CRS</b> | MegaIsaac X (@MegaIsaacX)
PJ - ALL - (PC-Fightcade),ALL,Project Justice,<a href='https://www.youtube.com/watch?v=9bA189m97Ok'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/project-justice-global/overview,Full Tourney, Regular Sized Majin (@Hi_Im_Majin),<b>KOR</b> | NAMAIKI,<b>S-men</b> | ChairGTables (@ChairGTables),BCDeshiG
PPC - ALL - (PC-Steam),ALL,Puyo Puyo Champions,<a href='https://youtu.be/Dj2Sq1WfjsA'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/puyo-puyo-champions-global/overview,Full Tourney,Void (@VoidPH7), Hélio (@HelioTakahashi0),DdR_Dan (@Regenned),kzN
RE - ALL - (PC-Fightcade),ALL,Red Earth,<a href='https://youtu.be/1MiTdjoYaRs'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/red-earth-global/overview,Top 8,HB Production (@HB_Production),<b>TGC</b> | MelvinIsANiceBoy (@MelvinIsANiceB1),GhostShroom (@ghost_shroom),Hokuto (@FlyingBarcelona)
ROA - EU - (PC-Steam),EU,Rivals of Aether,<a href='https://www.twitch.tv/videos/1734412394'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/rivals-of-aether-eu/overview,Full Tourney,Fireicey (@Fir3icey),TheDripCollector (@GiveMeYourDrip),Sheush (@TheSheush),Hukon (Maypul)
ROA - NA+LAN - (PC-Steam),"NA, LAN",Rivals of Aether,<a href='https://youtu.be/ObgDSkC70c8'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/rivals-of-aether-na-lan/overview,Top 8,<b>VIBE SSG</b> | CheesyPotato,<b>Charm</b> | elkiies (@Knitzu),<b>LITE</b> | Vecho (@Vecho0),The Real Man (@TheRealMan95)
ROAW - ALL - (PC-Steam),ALL,Rivals of Aether Workshop,"<a href='https://www.youtube.com/watch?v=G3lIdfhTuug'>VOD</a>, <a href='https://www.youtube.com/watch?v=cVNLFQ8-h_M'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/rivals-of-aether-workshop-global/overview,Top 8,<b>BLW</b> | Dakota (@2004CivicSedan),<b>TKS</b> | Landkon2 (@Landkon22),<b>alt</b> | Seggo (@SeggoAhmet),<b>BLW</b> | JM1-3 (@Jm1llions)
SS7 - ALL - (Xbox Series),ALL,Samurai Shodown,"<a href='https://www.youtube.com/watch?v=N2ttlDftKNs'>VOD 1</a>, <a href='https://www.youtube.com/watch?v=Pui4M30uaKc'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/samurai-shodown-7-global/overview,Full Tourney,ScrubSaibot (@ScrubSaibot),Maki (@C3JulioMorales88),CIPHER (@CIPHER_ZERO1),Healing Vision
SS3 - ALL - (PC-Fightcade),ALL,Samurai Shodown 3,<a href='https://youtu.be/7ZeFwQ_6fHM'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/samurai-shodown-iii-global/overview,Full Tourney,Bladetastic (@RealBladetastic),LavaLevelLover,Mcm (@MCM931),Ragnell345 (@Ragnell345)
SSVSP - NA+SA - (PC-Fightcade),"NA, SA",Samurai Shodown V Special,<a href='https://youtu.be/oQu6O-q0gbQ'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/samurai-shodown-v-special-na-sa/overview,Full Tourney,_png,JoacoAshura (@JoacoElAshura),Tao (@SpiritTaoism),Sugoi (@Sugoi10192146)
SSVI - NA - (PC-Fightcade),NA,Samurai Shodown VI,<a href='https://youtu.be/fJkaPCSSzgQ'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/samurai-shodown-vi-na/overview,Full Tourney,Wedge (@Cmndr_Antilles),DrDewberry (@DrDewberry),MooMaster (@MooMasterFHD),MCMN (@MCM931)
SG - JP - (PC-Steam),JP,Skullgirls: 2nd Encore+,<a href='https://www.twitch.tv/videos/1758201893'>VOD</a>,https://tonamel.com/competition/MRU1v,Full Tourney,oism,Twister88_Naminori,koto-ichigo,U_Tini
SG - NA - (PC-Steam),NA,Skullgirls: 2nd Encore+,"<a href='https://youtu.be/1MP6Djid8sY'>VOD 1</a>, <a href='https://youtu.be/KA9c8ibEwdw'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/skullgirls-2nd-encore-na/overview,Full Tourney,Geese_L (@Geese_L),Nope.avi (@bl1pdotavi),PME (@PME_SG),Gelato (@gelatogrotto)
SG - OCE - (PC-Steam),OCE,Skullgirls: 2nd Encore+,<a href='https://www.youtube.com/watch?v=jMDwEAhtPxA'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/skullgirls-2nd-encore-oce/overview,Full Tourney,No Funny Name (@No_Funny_Name),Drip (@Drip_NZ),Pika_Bat,bnuy (@trish_beast)
SG - SA/BR - (PC-Steam),BR,Skullgirls: 2nd Encore+,<a href='https://youtu.be/YhciPJ7N8ko'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/skullgirls-2nd-encore-br/overview,Full Tourney,Lugon (@Caio_Lugon),<b>LDG</b> | Aristal (@Aristal159),<b>MI</b> | Tiago (@ReturnTiago),<b>Vineko</b> | Vineko (@Nomeaindanusado)
SG - SA/SUD - (PC-Steam),SUD,Skullgirls: 2nd Encore+,<a href='https://www.youtube.com/watch?v=W-bh432UR3k'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/skullgirls-2nd-encore-sud/overview,Full Tourney,Merah (@merahreedd),Luminam (@LuminamSg),LAPULGA (@IIILaPulgaIII),Valencia (@ValenciaDn3)
SCVI - NA - (PC),NA,Soulcalibur VI,<a href='https://www.youtube.com/watch?v=fa2IaEZFJVY'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/soulcalibur-vi-na/overview,Full Tourney,<b>DEUS</b> | Incendiate (@incendiate),RuberBeefMan (@RuberbeefMan),MasterCJ (@Mas1erCJ),<b>ELE</b> | No Woe (@Yo_NoWoe)
SPLAT3 - NA - (Switch),NA,Splatoon 3,"<a href='https://www.youtube.com/watch?v=b17QTwecMIA'>VOD 1</a>, <a href='https://www.youtube.com/watch?v=UC8mqtnL7BI'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/splatoon-3-na/overview,Full Tourney,"<b>DB</b> | Bliss (@bliss96_), <b>DB</b> | Zero (@_Zeroto_), <b>DB</b> | Jared (@_isjared_), <b>DB</b> | Wally (@wallyspl3)","<b>F*</b> | Sunguraa (@sunguraa_), <b>F*</b> | XRay (@XRay_m2h3), <b>F*</b> | Reborn (@Reborn_NA), <b>F*</b> | Saffra (@okaysaffra)",,
SDB - ALL - (PC-Fightcade),ALL,Super Dodge Ball,<a href='https://youtu.be/kQfCHYThbUQ'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/super-dodge-ball-global/overview,Full Tourney,<b>Vega</b> | Tejuino,<b>mig</b> | Rockymitsu291 (@MiguelE38179538),Regular Sized Majin (@Hi_Im_Majin),<b>S-men</b> | ChairGTables (@chairgtables)
TVC - NA - (PC-Dolphin),NA,Tatsunoko vs. Capcom Ultimate All-Stars,<a href='https://youtu.be/-TC8JYs8T0A'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/tatsunoko-vs-capcom-ultimate-all-stars-na/overview,Full Tourney,Supra,Metaternal,Bookoo,CaptunNick
TMNTTF - NA - (PC-Dolphin),NA,Teenage Mutant Ninja Turtles Tournament Fighters,<a href='https://www.youtube.com/playlist?list=PLCBliRMaXdKM_vdBGm4syoaiAHCHLKp5c'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/teenage-mutant-ninja-turtles-tournament-fighters-na/overview,Full Tourney,Xforce77,MooMaster,Aszaxa,yRtR
KOF2003 - ALL - (PC-Fightcade),ALL,The King of Fighters 2003,<a href='https://www.youtube.com/watch?v=-kdNyfY2qAs'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/the-king-of-fighters-2003-global/overview,Full Tourney,<b>RDL</b> | Riseng (@Riseng7),BazzGX (@supbazz),Cyber_Yagami (@CyberYagamiBR),Ramo Ragde
KOFXV - NA - (PC-Steam),NA,The King of Fighters XV,"<a href='https://youtu.be/q7Y6VARYs2Y'>VOD 1</a>, <a href='https://youtu.be/Ss_bh-PotJQ'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/the-king-of-fighters-xv-na/overview,Full Tourney,<b>TxC</b> | ViolentKain (@ViolentKain),<b>TxC</b> | El Rosa (@elrosa_),<b>AR TG</b> | El_Dogor (@El_Doogor),Juan KOF (@Juan_K0F)
TMNTXJLT - NA - (PC),NA,TMNT x Justice League Turbo,<a href='https://www.youtube.com/playlist?list=PLCBliRMaXdKM_vdBGm4syoaiAHCHLKp5c'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/tmnt-x-justice-league-turbo-na/overview,Full Tourney,SenkouZero,Aszaxa,Geki_CP,Gyaru
SOKU - JP+KR+SEA - (PC-Caster),"JP, KR, SEA",Touhou 12.3 Hisoutensoku,<a href='https://www.youtube.com/watch?v=mrnbwbipupg'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/touhou-hisoutensoku-jp-kr-sea/overview,Full Tourney,NANO-KTH,BIG BREWED #7886,Erli,<b>DTC</b> | Tetora (@nuryadin_jason)
SOKU - NA+SA+EU - (PC-Caster),"NA, SA, EU",Touhou 12.3 Hisoutensoku,<a href='https://youtu.be/6zvzayRatjc'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/touhou-hisoutensoku-na-sa-eu/overview,Full Tourney,ZeroFuse,Wayward,Vibago,Machii
SOKU - OCE - (PC-Caster),OCE,Touhou 12.3 Hisoutensoku,<a href='https://www.youtube.com/live/VNKMelo2GOE'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/touhou-hisoutensoku-oce/overview,Full Tourney,_Kookie,Lance,knightwau (@meirinbestwaifu),$tooge (@TheStooge97)
TF - NA - (PC-Fightcade),NA,Toy Fighter,<a href='https://youtu.be/pnfKxZYbHnE'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/toy-fighter-na/overview,Full Tourney,Derpey Kong,Ratttz (@RatttzMessd),NotLexi,ItsJustChrisNow
UFDK - ALL - (PC-Steam),ALL,Ultra Fight Da ! Kyanta 2,<a href='https://youtu.be/5WQtaboxpkk'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/ultra-fight-da-kyanta-2-global/overview,Full Tourney,Yellowswerve (@YellowSwerve),Aru 7.62mmR (@Aru762mmR),Durdge-O (@DurdgeO),Tjbrown329 (@Tjispriv329)
UGF - SA/BR - (PC-Steam),BR,Umineko: Golden Fantasia,"<a href='https://www.twitch.tv/videos/1743082994'>VOD 1</a>, <a href='https://www.youtube.com/watch?v=S_ml1b17TQw'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/umineko-golden-fantasia-br/overview,Full Tourney,Zanaylo (@PrimoZanaylo),Henriquecz (@HZanarella),Knox (@ggsknox),Davyll (@Davyll_)
UNICLR - NA/EC - (PC-Steam),NA/EC,Under Night In-Birth Exe:Late [cl-r],<a href='https://www.youtube.com/watch?v=sC-VV6DyjXo'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/under-night-in-birth-exe-late-cl-r-na-ec/overview,Full Tourney,BigBlack (@BigBlack45209),Defiant (@Defiant_def),D.A.C (@TistheDac),mimi (@mintcocoamilk)
UNICLR - NA/WC - (PC-Steam),NA/WC,Under Night In-Birth Exe:Late [cl-r],<a href='https://www.youtube.com/watch?v=1L7pqxmPMd4'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/under-night-in-birth-exe-late-cl-r-na-wc/overview,Full Tourney,<b>Play Trails</b> | Ruric (@Rur1c),Drunk Suika Ibuki (@VanSuika_),Smiles (@Smilepants_),<b>星詠み</b> | Aria (@AriaEbenfalls)
UNICLR - SA/BR - (PC-Steam),BR,Under Night In-Birth Exe:Late [cl-r],"<a href='https://www.twitch.tv/videos/1749181659'>VOD 1</a>, <a href='https://www.youtube.com/watch?v=TSG0vpLRXwg&ab_channel=BOBLEIS'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/under-night-in-birth-exe-late-cl-r-br/overview,Full Tourney,Hankino (@ranquinoo),Jaca (@jacawit),Azura Lux (@Azura_Lux),Shueider (@ShueideRR)
UNICLR - SA/CH - (PC-Steam),CH,Under Night In-Birth Exe:Late [cl-r],<a href='https://youtu.be/Dy2fNdOAKpk'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/under-night-in-birth-exe-late-cl-r-chile/overview,Full Tourney,<b>djb</b> | Yuuno (@Yuunofg),<b>G9</b> | BRIAN_KYO (@brian_kyo),Frostedd (@Frosteddasd),Beffen (@BeffenM)
VSAV - NA - (PC-Fightcade),NA,Vampire Savior,<a href='https://www.youtube.com/playlist?list=PLK2Ig4OVnwnHSyI_Vq19mteZaZPYmfLOY'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/vampire-savior-na/overview,Full Tourney,<b>PAG</b> | VickiViper (@darkforcevicki),<b>VMP ZSPORTS</b> | MiniMaww (@minimaww),Wavyammar (@wavyamar),Miller2B
VSAV - SA/BR - (PC-Fightcade),BR,Vampire Savior,<a href='https://youtu.be/MIJ_IHqdwIM'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/vampire-savior-br/overview,Full Tourney,<b>NP</b> | Xabaladabu (@xabaladabu),<b>NP</b> | The Seeker (@ISW_TheSeeker),<b>SUD</b> | Khanae,<b>SUD</b> | Alejo (@Alejo5599)
VF5US - JP - (PS4),JP,Virtua Fighter 5 Ultimate Showdown,<a href='https://youtu.be/hiE-v_KTcyk'>VOD</a>,https://tonamel.com/competition/1CRk0,Full Tourney,TURBO,メツリュウJACKY,べじふら,ゼータ
VF5US - NA - (PS4),NA,Virtua Fighter 5 Ultimate Showdown,<a href='https://youtu.be/rzXTPkH3F3k'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/virtua-fighter-5-ultimate-showdown-na/overview,Full Tourney,<b>KDQ</b> | Tricky (@Tricky_Eileen),Genesis_Frenzy (@GenesisFrenzy),Aztec,Paul68kdmd (@Paul68kdmd)
WW7 - ALL - (PC-Fightcade),ALL,Waku Waku 7,<a href='https://www.youtube.com/watch?v=cOverw52mGI'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/waku-waku-7-global/overview,Full Tourney,<b>NekoPunchi</b> | Naldinho Ostman,Hyggend (@hyggend),EroBrYanFuYu,Asaka_Isoshi
