Phase,Wave,Pool,"Pool Seed","Phase Seed","Pool Placement","Event Placement",Entrant,"Seed ID","Player Name","Player GamerTag","Player Short GamerTag","Sets Played","Sets Won","Games Played","Games Won"
Bracket,,1,6,6,1,1,Kartonzz,19048799,"Andrey Savoderov",Kartonzz,Kartonzz,5,5,14,9
Bracket,,1,9,9,2,2,FaitVII,18892384,,FaitVII,FaitVII,6,4,19,12
Bracket,,1,5,5,3,3,Dey,19091040,"Daniel Heinrich",Dey,Dey,6,4,21,10
Bracket,,1,4,4,4,4,Massao,19091043,"Luca Fehr",Massao,Massao,6,4,14,6
Bracket,,1,7,7,5,5,Scr4p,19070077,"Przemek Kalata",Scr4p,Scr4p,4,2,0,0
Bracket,,1,13,13,5,5,Bladetastic,18855963,"Leart Selimi",Bladetastic,Bladetastic,5,3,15,7
Bracket,,1,1,1,7,7,Redraven,18854477,"Nahi Amine",Redraven,Redraven,3,1,0,0
Bracket,,1,3,3,7,7,"Yurkey | leamaycry",18894164,"Lea Negulescu","Yurkey | leamaycry",leamaycry,3,1,14,7
Bracket,,1,2,2,9,9,"Mdjs.Esport | Wolfman",18883846,"Mohamed Oubah","Mdjs.Esport | Wolfman",Wolfman,2,0,0,0
Bracket,,1,8,8,9,9,MadDogKrill,18911148,"Yan Pinto",MadDogKrill,MadDogKrill,2,0,7,1
Bracket,,1,10,10,9,9,Marvingo,18861043,,Marvingo,Marvingo,2,0,0,0
Bracket,,1,11,11,9,9,Cypher,18858687,"Chester T",Cypher,Cypher,2,0,0,0
Bracket,,1,12,12,13,13,"MF Odin",18858630,"Mourad El garma","MF Odin","MF Odin",2,0,0,0
